rt_id,who_was_rt,content_of_rt
1248646427150110728,allantercalivre,"@allantercalivre's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
1255580013392470021,apyus,Jair Bolsonaro prometia não passar de 800 mortes. Já perdemos mais de 5 mil brasileiros. https://t.co/8HUzqwhmBh
1266868061707132928,leticiakawano,"After the RCT on HCQ to #COVID19, the Brazilian researcher Marcos Lacerda received death threats and will need to respond to a legal action taken by State prosecutors.
#Bizarre 
This is the level of obscurantism we are in.
https://t.co/plyDDpCCif @TheLancetInfDis https://t.co/DYXD16wMtk"
1266765802088411136,BolsonaroSP,Oiê! https://t.co/GlIbE7Aet1
1266852571802730501,UOLNoticias,"Brasil tem o maior número de pessoas fora de casa: 60,8% ignoram isolamento https://t.co/JV7Dn9h0mp"
1266878305770377220,g1,MPF defende suspender orientação para uso da cloroquina para covid-19 #G1 https://t.co/fWlLD26494 https://t.co/yEAnw69W1m
1266877838604500992,blogdojefferson,"@blogdojefferson's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
1266877838604500992,blogdojefferson,"@blogdojefferson's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
1266870628675616768,padilhando,"O que há para se comemorar, ministra @DamaresAlves? 15 dias sem um ministro da saúde ou 28.834 mortos por covid-19? https://t.co/AlGsvcVQX6"
1266874646093152259,dadourado,"O pesquisador brasileiro que publicou estudo clínico indicando risco de uso de cloroquina para Covid-19, além de ter recebido ameaças de morte, responderá a ação judicial movida por promotores públicos.

Olha o tamanho desse buraco. https://t.co/HRuNYTrGMY"
1266873627443593216,Metropoles,"O empresário Ivan Storel, de 49 anos, foi preso nessa sexta-feira (29/05), em Alphaville, bairro nobre de São Paulo, após agredir verbalmente e ameaçar a esposa. A PM foi acionada e, no local, os soldados foram desacatados e também sofreram ameaças

https://t.co/yt8reikXFX"
1266779272867385347,JanainaDoBrasil,"Se uma médica gravar um vídeo, com base na sua experiência profissional, dizendo que cloroquina não funciona e pode levar à morte, a Justiça pode mandar retirar esse vídeo? Acredito que a resposta seja não! Por que, então, pode a Justiça determinar a exclusão de vídeo de"
1266862233990070272,senadorhumberto,"Crueldade. Descaso. Canalhice. Chacota. A ministra Damares é um resumo de tudo de ruim que o governo Bolsonaro representa para o país. 

Perdemos 28.834 brasileiros e ela vai a público propor um brinde à agricultura? 

#ForaBolsonaro é pouco. Toda essa récua precisa sair. https://t.co/VC3s8ztPZH"
1266868061707132928,leticiakawano,"After the RCT on HCQ to #COVID19, the Brazilian researcher Marcos Lacerda received death threats and will need to respond to a legal action taken by State prosecutors.
#Bizarre 
This is the level of obscurantism we are in.
https://t.co/plyDDpCCif @TheLancetInfDis https://t.co/DYXD16wMtk"
1266849372517662727,DamaresAlves,Vai um leitinho aí? https://t.co/xl6LRQozYE
1266371099593334786,conexaopolitica,Senador começa a tomar cloroquina após apresentar sintomas da covid-19 https://t.co/HRwuDjyQ0t
1266871100614553605,NoticiasdaTV,Sikêra Jr. usa camisa de força e critica Bolsonaro em live precária da RedeTV! &gt; https://t.co/GajKsZgEqr
1266849372517662727,DamaresAlves,Vai um leitinho aí? https://t.co/xl6LRQozYE
1266851943919607809,RachelSherazade,Acho que puseram cloroquina no leite da ministra Damares! Alucinógenoooooooooooooooo https://t.co/QYl4LBXVh4
1262922947293044749,THAISVIANELLO,"Itália 🇮🇹 usando hidroxicloroquina 
França 🇫🇷 usando hidroxicloroquina 
Inglaterra 🏴󠁧󠁢󠁥󠁮󠁧󠁿 usando hidroxicloroquina 
Portugal 🇵🇹 usando hidroxicloroquina 
Israel 🇮🇱 usando hidroxicloroquina 
China 🇨🇳 usando hidroxicloroquina 
India 🇮🇳 usando hidroxicloroquina"
